STATIONID	YEAR	MONTH	DAY	HOUR	MINUTE	PRECIPITATION
STABG	2000	9	27	0	0	0
STABG	2000	9	28	0	0	0.18
STABG	2000	9	29	0	0	0.07
STABG	2000	9	30	0	0	0.1
STABG	2000	10	1	0	0	0.02
STABG	2000	10	2	0	0	0
STABG	2000	10	3	0	0	0.08
STABG	2000	10	4	0	0	3.03
STABG	2000	10	5	0	0	1.37
STABG	2000	10	6	0	0	0
STABG	2000	10	7	0	0	0.12
STABG	2000	10	8	0	0	0
STABG	2000	10	9	0	0	0
STABG	2000	10	10	0	0	0
STABG	2000	10	11	0	0	0
STABG	2000	10	12	0	0	0
STABG	2000	10	13	0	0	0
STABG	2000	10	14	0	0	0
STABG	2000	10	15	0	0	0
STABG	2000	10	16	0	0	0
STABG	2000	10	17	0	0	0
STABG	2000	10	18	0	0	0
STABG	2000	10	19	0	0	0
STABG	2000	10	20	0	0	0
STABG	2000	10	21	0	0	0
STABG	2000	10	22	0	0	0
STABG	2000	10	23	0	0	0
STABG	2000	10	24	0	0	0.11
STABG	2000	10	25	0	0	0.02
STABG	2000	10	26	0	0	0.01
STABG	2000	10	27	0	0	0
STABG	2000	10	28	0	0	0
STABG	2000	10	29	0	0	0
STABG	2000	10	30	0	0	0
STABG	2000	10	31	0	0	0.07
STABG	2000	11	1	0	0	0
STABG	2000	11	2	0	0	0
STABG	2000	11	3	0	0	0
STABG	2000	11	4	0	0	0
STABG	2000	11	5	0	0	0
STABG	2000	11	6	0	0	0
STABG	2000	11	7	0	0	0
STABG	2000	11	8	0	0	0
STABG	2000	11	9	0	0	0
STABG	2000	11	10	0	0	0
STABG	2000	11	11	0	0	0.15
STABG	2000	11	12	0	0	0
STABG	2000	11	13	0	0	0
STABG	2000	11	14	0	0	0
STABG	2000	11	15	0	0	0.01
STABG	2000	11	16	0	0	0
STABG	2000	11	17	0	0	0
STABG	2000	11	18	0	0	0
STABG	2000	11	19	0	0	0
STABG	2000	11	20	0	0	0
STABG	2000	11	21	0	0	0.04
STABG	2000	11	22	0	0	0
STABG	2000	11	23	0	0	0
STABG	2000	11	24	0	0	0
STABG	2000	11	25	0	0	0
STABG	2000	11	26	0	0	0.01
STABG	2000	11	27	0	0	0.43
STABG	2000	11	28	0	0	0
STABG	2000	11	29	0	0	0
STABG	2000	11	30	0	0	0
STABG	2000	12	1	0	0	0
STABG	2000	12	2	0	0	0
STABG	2000	12	3	0	0	0
STABG	2000	12	4	0	0	0
